Gene_ID	Expression
15S_rRNA	0
21S_rRNA	0
HRA1	897.187
ICR1	447.008
LSR1	205.075
NME1	540.213
PWR1	301.932
Q0010	0
Q0017	0
Q0032	0
Q0045	0
Q0050	0
Q0055	0
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0297	0
R0010W	401.466
R0020C	959.032
R0030W	992.335
R0040C	513.221
RDN18-1	495.733
RDN18-2	499.705
RDN25-1	721.314
RDN25-2	769.283
RDN37-1	157.226
RDN37-2	176.836
RDN5-1	412.93
RDN5-2	265.279
RDN5-3	269.936
RDN5-4	265.279
RDN5-5	251.318
RDN5-6	412.93
RDN58-1	466.965
RDN58-2	546.298
RNA170	276.304
RPM1	0
RPR1	128.007
RUF20	274.645
RUF21	0.631637
RUF22	0
RUF23	0
RUF5-1	1123.12
RUF5-2	1126.84
SCR1	632.658
SRG1	490.063
TLC1	796.579
YAL001C	298.827
YAL002W	19.308
YAL003W	1816.27
YAL004W	932.996
YAL005C	1624.46
YAL007C	179.363
YAL008W	138.5
YAL009W	592.057
YAL010C	179.853
YAL011W	232.859
YAL012W	473.991
YAL013W	436.084
YAL014C	617.795
YAL015C	394.539
YAL016C-A	765.578
YAL016C-B	389.542
YAL016W	101.193
YAL017W	225.449
YAL018C	355.787
YAL019W	289.714
YAL019W-A	160.812
YAL020C	263.354
YAL021C	447.558
YAL022C	681.048
YAL023C	141.032
YAL024C	929.219
YAL025C	103.55
YAL026C	235.406
YAL026C-A	610.561
YAL027W	663.961
YAL028W	559.106
YAL029C	178.312
YAL030W	181.215
YAL031C	238.815
YAL031W-A	335.908
YAL032C	344.009
YAL033W	929.008
YAL034C	347.965
YAL034C-B	18.145
YAL034W-A	493.248
YAL035W	157.742
YAL036C	527.252
YAL037C-A	0
YAL037C-B	307.285
YAL037W	337.145
YAL038W	386.765
