	Condition	N° variables	Time	Status
0	T1	2082	11.56486463546753	Solve_Succeeded
1	T2	2082	16.58947205543518	Solve_Succeeded
2	T3	2082	12.530319690704346	Solve_Succeeded
3	T4	2082	12.571012735366821	Solve_Succeeded
4	T5	2082	11.48888111114502	Solve_Succeeded
5	T6	2082	12.412196159362793	Solve_Succeeded
6	T7	2082	23.637097358703613	Solve_Succeeded
7	T8	2082	19.369787454605103	Solve_Succeeded
8	T9	2082	26.361770391464233	Solve_Succeeded
9	T10	2082	12.182667255401611	Solve_Succeeded
10	T11	2082	12.51312804222107	Solve_Succeeded
11	T12	2082	11.960461854934692	Solve_Succeeded
12	T13	2082	15.214153528213501	Solve_Succeeded
13	T14	2082	11.804524660110474	Solve_Succeeded
14	T15	2082	11.797159433364868	Solve_Succeeded
15	T16	2082	14.584364652633667	Solve_Succeeded
