	Condition	N° variables	Time	Status
0	T1	2082	17.05473780632019	Solve_Succeeded
1	T2	2082	16.285773515701294	Solve_Succeeded
2	T3	2082	15.992546319961548	Solve_Succeeded
3	T4	2082	16.792949438095093	Solve_Succeeded
4	T5	2082	21.848407745361328	Solve_Succeeded
5	T6	2082	15.9586763381958	Solve_Succeeded
6	T7	2082	17.109501600265503	Solve_Succeeded
7	T8	2082	17.70879817008972	Solve_Succeeded
8	T9	2082	16.392029762268066	Solve_Succeeded
9	T10	2082	16.81722068786621	Solve_Succeeded
10	T11	2082	17.274200916290283	Solve_Succeeded
11	T12	2082	18.134502172470093	Solve_Succeeded
12	T13	2082	18.32638120651245	Solve_Succeeded
13	T14	2082	16.243533849716187	Solve_Succeeded
14	T15	2082	16.13466787338257	Solve_Succeeded
15	T16	2082	16.88143491744995	Solve_Succeeded
