	Condition	N° variables	Time	Status
0	A549_LUNG	14329	186.11840772628784	Solve_Succeeded
1	HCT116_LARGE_INTESTINE	14329	194.0339958667755	Solve_Succeeded
2	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14329	220.9130153656006	Solved_To_Acceptable_Level
3	HUH7_LIVER	14329	212.89082074165344	Solve_Succeeded
4	MCF7_BREAST	14329	207.42185425758362	Solve_Succeeded
5	MDAMB231_BREAST	14330	203.93424892425537	Solve_Succeeded
6	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14329	207.88900113105774	Solve_Succeeded
7	PANC1_PANCREAS	14329	237.2769012451172	Solve_Succeeded
8	PC3_PROSTATE	14329	212.41572546958923	Solve_Succeeded
9	SAOS2_BONE	14329	214.68438076972961	Solve_Succeeded
10	SW480_LARGE_INTESTINE	14330	223.28785490989685	Solve_Succeeded
11	U251MG_CENTRAL_NERVOUS_SYSTEM	14329	208.3305516242981	Solve_Succeeded
12	U2OS_BONE	14329	209.05337047576904	Solve_Succeeded
13	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14329	208.59056425094604	Solve_Succeeded
