Gene_ID	Expression
15S_rRNA	0
21S_rRNA	0
HRA1	709.043
ICR1	431.933
LSR1	394.962
NME1	763.771
PWR1	265.838
Q0010	0
Q0017	0
Q0032	0
Q0045	0
Q0050	0
Q0055	0
Q0060	0
Q0065	0
Q0070	0
Q0075	0
Q0080	0
Q0085	0
Q0092	0
Q0105	0
Q0110	0
Q0115	0
Q0120	0
Q0130	0
Q0140	0
Q0142	0
Q0143	0
Q0144	0
Q0160	0
Q0182	0
Q0250	0
Q0255	0
Q0275	0
Q0297	0
R0010W	630.898
R0020C	1162.55
R0030W	1757.39
R0040C	478.983
RDN18-1	1349.54
RDN18-2	1360.01
RDN25-1	1853.91
RDN25-2	1974.63
RDN37-1	956.143
RDN37-2	964.059
RDN5-1	910.578
RDN5-2	585.577
RDN5-3	503.369
RDN5-4	512.505
RDN5-5	565.483
RDN5-6	910.578
RDN58-1	1919.45
RDN58-2	2434.24
RNA170	786.512
RPM1	0
RPR1	528.099
RUF20	325.523
RUF21	0.869934
RUF22	0.843663
RUF23	28.156
RUF5-1	11633.6
RUF5-2	11637.3
SCR1	387.807
SRG1	359.508
TLC1	363.188
YAL001C	312.275
YAL002W	167.639
YAL003W	1111.23
YAL004W	1915.87
YAL005C	3281.14
YAL007C	827.735
YAL008W	273.824
YAL009W	76.586
YAL010C	296.697
YAL011W	230.195
YAL012W	889.875
YAL013W	561.427
YAL014C	914.048
YAL015C	363.075
YAL016C-A	138.995
YAL016C-B	993.777
YAL016W	162.931
YAL017W	396.404
YAL018C	599.482
YAL019W	122.112
YAL019W-A	151.526
YAL020C	299.076
YAL021C	422.385
YAL022C	461.213
YAL023C	565.329
YAL024C	433.278
YAL025C	522.568
YAL026C	189.043
YAL026C-A	471.054
YAL027W	778.731
YAL028W	191.229
YAL029C	138.505
YAL030W	477.441
YAL031C	212.373
YAL031W-A	362.423
YAL032C	477.074
YAL033W	522.577
YAL034C	111.266
YAL034C-B	753.244
YAL034W-A	220.815
YAL035W	114.101
YAL036C	49.093
YAL037C-A	0
YAL037C-B	1890.3
YAL037W	22.466
