,flux
R_CITtcp,9.938944498140423e-09
R_13BGH,0.02435588563406335
R_13BGHe,6.3229966494024e-09
R_13GS,0.030048490874063846
R_16GS,6.824730722885252e-21
R_23CAPPD,0.0
R_2DDA7Ptm,-0.0385084306150827
R_2DHPtm,0.0034057560063705
R_2DOXG6PP,0.0
R_2HBO,-0.0033835102578839
R_2HBt2,-0.0033835102578839
R_2HMHMBQMTm,0.0
R_2HP6MPMOm,0.0
R_2HPMBQMTm,0.0
R_2HPMMBQMOm,0.0
R_2MBACt,0.019696459623309952
R_EX_epistest_SC_e,0.0
R_EX_epist_e,0.0
R_2MBALDt,0.0001565331949625
R_2MBALDtm,0.0077942928895031495
R_2MBTOHt,0.1550705421568359
R_ACACT6p,1.5980472440324134e-07
R_2MBTOHtm,-0.0077942928895031495
R_ACACT7p,1.7978294106180208e-07
R_2MPPALt,0.00038092665820495003
R_ACACT8p,1.9973849101027937e-07
R_ACACT9p,1.9897960419695082e-08
R_ACALDCD,0.23137534944281124
R_ACALDt,-0.0352778045010445
R_ACALDtm,-0.18251011007920695
R_ACCOAC,0.00225780381778085
R_ACCOACrm,8.76611963018803e-08
R_AGAT_SC,0.0018383188268349
R_AGPRim,0.10256677090460176
R_AGTi,0.0075587080283648
R_AHCYStm,5.5511151231257815e-17
R_ACCOAtn,0.02099589878537935
R_2MPPALtm,0.011576271280301899
R_ACESt,0.04383670469171675
R_ACGAM6PS,-1.1102230246251563e-16
R_AHCi,0.02686509497334995
R_AHMMPS,9.877026423738376e-09
R_AHSERL,3.2944760030911413e-21
R_AHSERL2,0.058528921627052505
R_ACGAMPM,-8.326672684688674e-17
R_ACGKm,0.10256677090460176
R_2OBUTtm,0.17303890777327174
R_ACGSm,0.0
R_2OXOADPtim,0.0038046996655522
R_ACHBSm,0.1764374385762246
R_ACHLE1,0.0058330584281370505
R_2PHETOHt,-0.0642198384636938
R_ACHLE2,0.0033937750447867497
R_ACHLE3,0.0018848694012995
R_ACLSm,0.30513663103290156
R_2PHETOHtm,0.0035485152922660997
R_ACOAHim,0.00115701512190505
R_34HPLFM,9.957286668957197e-09
R_ACOAO4p,1.3980783396182071e-07
R_AICART,0.00425313038519145
R_AIRCr,0.0005088977791683
R_AKGDam,0.0039614536917198
R_AKGDbm,0.0039614536917198
R_ACOAO5p,1.498063122936945e-07
R_ACOAO6p,1.5980472547029713e-07
R_ACOAO7p,1.7978294212298692e-07
R_ACOAO8p,1.9973849205068422e-07
R_ACOAO9p,1.9897961481066196e-08
R_AKGMAL,-0.00046885957198175
R_AKGt2n,0.0
R_AKGt2r,-0.000469435553297
R_34HPPOR,3.6428273839445536e-19
R_AKGtp,9.45752742786965e-09
R_AKP1,0.0
R_ALASm,9.474241300160094e-09
R_ALATA_L,-0.2605794235256136
R_ALATA_Lm,-0.0876039641142583
R_ACOATA,0.0
R_ACOATAm,0.0
R_ACON3MT,0.0
R_ALATRS,3.491467115309742e-21
R_34HPPt2m,0.00344865434234925
R_ALAt2r,-0.35004819849893964
R_ALAtmi,0.0876039641142583
R_ACONT,0.1046442722673424
R_ACONT3m,0.0022332502346291503
R_ACONTm,0.01387883373804215
R_ACOTAim,0.10256677090460176
R_ALCD19y,7.291821964780385e-09
R_ALCD22xi,0.16565223245595578
R_ALCD22xim,0.0077942928895031495
R_34HPPt2p,1.9375310744695895e-08
R_ALCD22yi,0.0013204764346868001
R_ALCD23xi,0.24791688237275294
R_ALCD23xim,0.01157627128030185
R_ALCD23yi,0.0006748224352248
R_ALCD24xi,0.033634814820717895
R_ALCD24xim,0.0015945539848016
R_ACP1e,9.79118030415462e-09
R_ACPSm,0.002971073986091
R_ACRNtm,0.05997303089943405
R_ACRNtp,7.186888858557906e-07
R_ACS,0.28183316418291005
R_ACSm,0.01984110506135055
R_ACSp,0.0
R_ACt2r,-0.2661198558183752
R_ALCD24yi,9.172943419990254e-05
R_ALCD25xi,0.0748546295790995
R_ALCD25xim,0.00354851529226615
R_ALCD25yi,0.000205102488303
R_ACtm,-0.0349940635932747
R_3C3HMPt,1.190639248305203e-08
R_ACtp,-9.998674499467342e-09
R_ACtr,0.2468232872702043
R_ADA,0.0051183921951701
R_ADCL,0.0016566209731777
R_ALCD26xi,0.7831098013941517
R_ALCD26xim,0.035461317733013656
R_ALCD2x_copy1,0.8163395399004221
R_ALCD2ir,2.364968733682488
R_ALCD2irm,0.1288319565464867
R_ADCS,0.0016566209731777
R_3C3HMPtm,-0.034222654782969444
R_ADD,0.005251395560497
R_ADEt2,9.904309471225806e-09
R_ADEtm,5.5511151231257815e-17
R_ADHAPR_SC,0.0016542922552477
R_ADK1,0.32194271800748153
R_ADK1m,-0.05564357468773885
R_ADK3,0.08132783858823485
R_ALCD2x_copy2,0.6141179111088616
R_ALDD19xr,1.5840193698091064e-20
R_ALDD20xm,0.0
R_ALDD20y,1.0795583998967595e-08
R_ALDD20ym,0.0
R_ALDD22x,0.00449906160858795
R_ALDD2xm,0.0009644642057977
R_ALDD2y,0.1824490640031345
R_ALDD2ym,0.0527136893269225
R_ADK3m,0.07548469906700725
R_ADK4,0.1639121729104543
R_ADK4m,0.0
R_ADMDC,0.0073672935238323495
R_ADNCYC,0.0025728771307769
R_ADNK1,0.10359342688992351
R_ADNUC,0.02448211345458555
R_ALLTAHr,1.9625027838920953e-08
R_ALLTN,9.791802771386138e-09
R_ALLTNti,9.791802756831754e-09
R_ALLTTti,9.833225105513103e-09
R_ADNt2,9.916961611358642e-09
R_3C4MOPtm,0.0
R_ADPT,0.00035588717683189997
R_ADSK,0.17279233501671165
R_ALPHNH,1.201188937350779e-08
R_AMAOTr,0.0
R_ADSL1r,0.0242109013289091
R_AMETt2,9.937889818645151e-09
R_3DH5HPBMTm,0.0
R_AMETtm,-1.1102230246251565e-16
R_AMID,1.6475973907680596e-21
R_AMID2,0.0
R_AMID3,2.1316482772060383e-21
R_ADSL2r,0.0005088977791683
R_ADSS,0.0242109013289091
R_AMPN,0.0641852508616166
R_AMPDA,0.00459980424354125
R_3DH5HPBtm,0.0
R_AMPtn,0.0
R_ANPRT,0.0117126636847744
R_ATPS3v,0.0
