Reaction	Flux
R_CITtcp	9.936444581200299e-09
R_13BGH	0.020758432107546597
R_13BGHe	6.532100483073583e-09
R_13GS	0.026098143215033127
R_16GS	4.082711371386903e-21
R_23CAPPD	0.0
R_2DDA7Ptm	-0.05271456815922315
R_2DHPtm	0.00319475081102083
R_2DOXG6PP	0.0
R_2HBO	-0.001965279181746271
R_2HBt2	-0.001965279181746271
R_2HMHMBQMTm	0.0
R_2HP6MPMOm	0.0
R_2HPMBQMTm	0.0
R_2HPMMBQMOm	0.0
R_2MBACt	0.01410475157718046
R_EX_epistest_SC_e	0.0
R_EX_epist_e	0.0
R_2MBALDt	0.00011157700365527212
R_2MBALDtm	0.005458158706986516
R_2MBTOHt	0.14997478130478337
R_ACACT6p	1.598008838615901e-07
R_2MBTOHtm	-0.005458158706986516
R_ACACT7p	1.7977877722692933e-07
R_2MPPALt	0.00032839278267837724
R_ACACT8p	1.9973363328290935e-07
R_ACACT9p	1.989774221895898e-08
R_ACALDCD	0.2232638965513394
R_ACALDt	-0.03283065261538398
R_ACALDtm	-0.14344753497490648
R_ACCOAC	0.0019711604323638943
R_ACCOACrm	8.830304576434855e-08
R_AGAT_SC	0.0015899649077461165
R_AGPRim	0.08440011689302623
R_AGTi	0.004881273709164965
R_AHCYStm	4.440892098500626e-16
R_ACCOAtn	0.017774683176456696
R_2MPPALtm	0.008895438907497333
R_ACESt	0.03157130566831997
R_ACGAM6PS	0.0
R_AHCi	0.022177944238374173
R_AHMMPS	9.87337734211854e-09
R_AHSERL	1.5271445620580443e-21
R_AHSERL2	0.037755556335823844
R_ACGAMPM	0.0
R_ACGKm	0.08440011689302623
R_2OBUTtm	0.15951664687941147
R_ACGSm	0.0
R_2OXOADPtim	0.0029254753603104706
R_ACHBSm	0.16544872180358852
R_ACHLE1	0.004918684126375773
R_2PHETOHt	-0.07009561529738506
R_ACHLE2	0.0029198540873411755
R_ACHLE3	0.0016814762968396443
R_ACLSm	0.3099438569901619
R_2PHETOHtm	0.0027082618378403422
R_ACOAHim	0.001394145004133381
R_34HPLFM	9.95719762643834e-09
R_ACOAO4p	1.3980403550313299e-07
R_AICART	0.004666258625041664
R_AIRCr	0.0004781564427427387
R_AKGDam	0.0004136242144368585
R_AKGDbm	0.0004136242144368427
R_ACOAO5p	1.498024918074843e-07
R_ACOAO6p	1.598008826515837e-07
R_ACOAO7p	1.797787759111411e-07
R_ACOAO8p	1.9973363205817888e-07
R_ACOAO9p	1.989774094880703e-08
R_AKGMAL	-0.00020467853006189696
R_AKGt2n	0.0
R_AKGt2r	-0.00020499710666632698
R_34HPPOR	2.522575864241671e-19
R_AKGtp	9.279275459128655e-09
R_AKP1	0.0
R_ALASm	9.50734335340214e-09
R_ALATA_L	-0.3522799179451097
R_ALATA_Lm	-0.057734947494056665
R_ACOATA	0.0
R_ACOATAm	-2.7755575615628914e-17
R_ACON3MT	0.0
R_ALATRS	2.2393836259967443e-21
