	Condition	N° variables	Time	Status
0	T1	2087	18.916656017303467	Solve_Succeeded
1	T2	2087	16.939935207366943	Solve_Succeeded
2	T3	2087	25.720263957977295	Solve_Succeeded
3	T4	2087	16.53448987007141	Solve_Succeeded
4	T5	2087	20.611074686050415	Solve_Succeeded
5	T6	2087	23.567325353622437	Solve_Succeeded
6	T7	2087	16.252735376358032	Solve_Succeeded
7	T8	2087	16.0437273979187	Solve_Succeeded
8	T9	2087	17.539454698562622	Solve_Succeeded
9	T10	2087	13.14191746711731	Solve_Succeeded
10	T11	2087	16.363449811935425	Solve_Succeeded
11	T12	2087	10.414042234420776	Solve_Succeeded
12	T13	2087	14.469285726547241	Solve_Succeeded
13	T14	2087	13.893109798431396	Solve_Succeeded
14	T15	2087	15.526184797286987	Solve_Succeeded
15	T16	2087	10.808948755264282	Solve_Succeeded
