,wt_1,wt_2,wt_3,wt_4,wt_5,wt_6,wt_7,wt_8,wt_9,wt_10,wt_11,wt_12,arp5_1,arp5_2,arp5_3,arp5_4,arp5_5,arp5_6,arp5_7,arp5_8,arp5_9,arp5_10,arp5_11,arp5_12
YAL054C,1227.050672,1203.830015,1043.914702,1049.274631,831.0215503,878.5808831,896.7607308,944.2416564,917.7747771,953.1323695,1103.323729,1162.989965,1114.773064,1181.885011,1171.472224,1155.646527,845.6036635,818.3687241,1002.207981,1030.053884,1369.350575,1268.109718,1337.058725,1214.256288
YAL049C,153.5597,141.3065011,133.89882,131.7138178,87.79157458,76.25911433,86.68183078,87.32778247,101.8906305,93.56116931,121.2447359,137.38426,89.87984123,130.0672272,92.76020689,116.7341315,127.37271,97.06579682,112.4797582,108.8966711,115.9093866,108.5522605,116.7004624,134.2116608
YAL047C,167.5217938,157.724235,133.3451265,147.5494964,134.5918655,123.0647578,138.2029732,131.8686152,186.6456226,178.9088736,165.8676605,142.4499785,163.0457572,165.8319813,155.7718395,160.8764311,150.5001546,196.7442439,154.7238108,186.1754094,197.4866288,172.9408576,166.6982609,180.2191083
YAL046C,304.0233252,269.4688647,262.0416667,246.4925892,271.3313423,253.1589293,301.7854745,307.7455667,318.1263701,297.8592954,274.058018,266.770178,247.1138644,240.2619911,265.0269095,266.6702991,295.0723399,315.3654252,277.3274712,305.0282772,288.811638,238.8883071,248.8752793,289.8374156
YAL044C,417.5922896,413.3647145,380.739713,339.6080043,334.9233499,364.6834217,375.5096895,362.0523081,450.6430277,404.4431713,406.8300903,370.8388813,334.3096502,391.9571834,422.0713918,414.6932615,431.0010502,436.5197387,407.9776701,470.3344038,419.5113491,384.287951,338.3229479,370.3276016
YAL043C,567.9174766,643.8137395,516.3729367,569.8789935,570.1622705,547.0689745,643.3926072,568.3654987,583.4687016,541.6034726,510.7083164,554.2765978,503.68464,551.4788142,505.4845012,497.9665591,506.4196868,501.5839054,497.7104258,554.0834037,527.569897,492.4620941,477.5182545,564.1025984
YAL040C,837.3681506,798.0490019,853.8611487,870.2438387,808.1942364,862.849049,821.0382179,785.8771271,770.5683099,773.6415637,778.2870312,787.5652851,1049.693782,1088.124594,1093.116589,1101.045241,1067.165414,1119.228876,1075.983195,1008.145519,1079.103826,1041.443967,1074.136589,1056.046343
YAL039C,260.6778955,292.7022552,281.4962361,226.3418974,157.9759373,169.3575489,174.9082556,180.7546497,201.7876563,193.9594941,234.5521429,237.1745132,175.6387056,179.4759857,207.1959429,176.0195983,168.4088382,164.7330059,165.3626536,164.225623,167.1412671,164.2216244,228.8389587,210.3037398
YAL037C-A,79.7334434,79.60525896,99.65285545,92.88748985,84.24705539,93.86770814,112.118924,106.7455444,100.3448011,105.7763652,98.21311453,85.14121101,148.9759457,113.7581845,139.7369025,127.0055135,120.7447947,122.8061447,114.7893776,135.1131263,127.8245926,135.8791062,110.1762226,117.7382054
YAL036C,199.7291294,209.5775655,199.394413,217.5801156,224.8676281,193.8673554,166.4046938,166.6465038,152.5071576,161.1094584,183.5641598,172.2631026,220.3370383,205.7244182,210.8750042,202.2288611,228.6056652,230.922607,196.1848628,175.3574495,188.542164,201.7588273,199.3608028,198.013673
YAL034C,171.2601763,175.9021824,142.58916,148.5650382,153.1548354,131.1157198,134.6319981,170.2259931,162.5410801,155.292743,162.4786447,173.0654409,128.3181884,141.7920113,208.0226156,157.3077813,141.8548098,165.777999,141.5219725,179.4080714,155.5816134,141.600966,161.1817817,170.9254176
YAL032C,144.1541964,116.2874839,97.63320522,108.4205377,99.59904466,119.7077938,119.1733475,98.61836139,118.297384,108.1426318,118.1341113,128.6158176,96.85750826,97.20411805,101.0064161,110.485542,109.48412,101.444781,100.6807171,119.7849209,132.9157727,84.09299497,123.9180811,120.9059302
YAL031C,283.9366669,273.3055652,211.581202,227.585161,210.8624348,230.1769798,246.7985487,251.5345616,255.2154901,260.5029948,299.2125789,270.1603009,238.2561161,276.1522047,294.6803436,264.366385,240.7043501,257.185117,256.0277833,276.2897893,288.1869898,283.8739308,239.4766216,269.9617703
YAL029C,593.2796918,641.6408622,659.2179016,582.4185569,560.5493519,572.7421122,447.2647338,527.448502,480.4526291,564.6099,601.1955301,515.2894586,623.7196538,673.0627101,644.9689864,598.6627037,436.3584503,495.7139804,574.9040676,587.3187803,646.483758,559.4864504,572.4640993,690.5944912
YAL026C,54.0706451,68.34227897,59.53306779,70.3916063,59.63326179,60.38957265,52.16123779,49.13298677,54.78347772,55.20422018,63.38171401,53.18168498,56.34088984,67.15131421,77.65627021,66.14115257,67.95813377,86.14189145,53.15165484,69.66002661,69.6791467,55.90281483,79.51989726,79.08145507
YAL025C,72.41586498,50.42022034,63.46979275,64.70818486,56.70139694,42.97907869,41.4064897,47.19589245,48.84606034,53.75267784,57.26596796,49.76375342,57.3560539,64.30518936,72.90886117,72.05214416,70.64740615,46.63453863,68.04458235,77.26740198,87.86459321,72.47086486,64.64824137,66.3916222
YAL023C,205.3758689,217.9054786,194.0578822,172.9783742,195.5320558,208.1324876,203.6260296,210.1966678,226.0975039,190.0836033,196.9841615,205.609792,200.9146697,237.0549814,240.5756198,211.0466821,205.7451321,207.9744717,255.6035142,248.6492269,259.5938095,252.2516983,230.4375409,211.9692122
YAL022C,88.17091444,74.42371859,86.74166832,67.12803842,49.89968081,56.89429845,64.15334543,48.64240057,84.57935046,84.79839937,66.10346572,79.86902042,91.54672937,91.11184794,104.146956,89.65732027,95.51522755,78.70805363,84.73821469,112.0219552,94.87036823,109.635945,92.05652379,102.2216418
YAL021C,258.8236808,267.8850498,201.5135759,196.525657,181.901098,193.8711302,224.2769859,226.0283668,258.1867948,263.2685981,261.1466234,221.8634046,647.6709038,585.6768895,633.6725781,578.2835858,447.986082,448.786025,447.6657748,448.6130201,537.112232,562.9490928,634.0157304,563.555003
