Systematic names	Cluster	Common names
YDL003W	1	MCD1
YGL162W	1	SUT1
YER016W	1	BIM1
YLL062C	1	MHT1
YOR073W	1	SGO1
YMR195W	1	ICY1
YNL300W	1	TOS6
YPR141C	1	KAR3
YER043C	1	SAH1
YHR153C	1	SPO16
YDL225W	1	SHS1
YKL042W	1	SPC42
YEL016C	1	NPP2
YBL009W	1	ALK2
YHR121W	1	LSM12
YMR132C	1	JLP2
YBR192W	1	RIM2
YMR304C-A	1	
YCR089W	1	FIG2
YIR042C	1	
YDL145C	1	COP1
YBR243C	1	ALG7
YDL052C	1	SLC1
YMR305C	1	SCW10
YNL044W	1	YIP3
YEL001C	1	IRC22
YKR010C	1	TOF2
YJL201W	1	ECM25
YBL021C	1	HAP3
YBR130C	1	SHE3
YJL118W	1	
YLR393W	1	ATP10
YLR168C	1	UPS2
YDR210W	1	
YOR198C	1	BFR1
YFR028C	1	CDC14
YMR274C	1	RCE1
YGL088W	1	
YBR205W	1	KTR3
YBR205W	1	KTR3
YGR207C	1	CIR1
YHR098C	1	SFB3
YDL192W	1	ARF1
YGL012W	1	ERG4
YLR394W	1	CST9
YIL121W	1	QDR2
YOL031C	1	SIL1
YBR078W	1	ECM33
YBR078W	1	ECM33
YJL183W	1	MNN11
YGR062C	1	COX18
YEL071W	1	DLD3
YGR234W	1	YHB1
YOR017W	1	PET127
YDR094W	1	
YPL252C	1	YAH1
YNR020C	1	ATP23
YPR004C	1	AIM45
YPR114W	1	
YPR057W	1	BRR1
YPL258C	1	THI21
YIL134W	1	FLX1
YBR206W	1	
YPL251W	1	
YGR153W	1	
YCR020C	1	PET18
YLR067C	1	PET309
YMR295C	1	
YBR162W-A	1	YSY6
YDL198C	1	GGC1
YER154W	1	OXA1
YMR307W	1	GAS1
YKL155C	1	RSM22
YNL216W	1	RAP1
YHR176W	1	FMO1
YOR205C	1	GEP3
YGR136W	1	LSB1
YGR136W	1	LSB1
YNL333W	1	SNZ2
YGL064C	1	MRH4
YFR025C	1	HIS2
YMR058W	1	FET3
YJL054W	1	TIM54
YDL178W	1	DLD2
YJL124C	1	LSM1
YNR017W	1	TIM23
YMR012W	1	CLU1
YCL005W	1	LDB16
YPR124W	1	CTR1
YPL067C	1	
YLR008C	1	PAM18
YJL104W	1	PAM16
YJL158C	1	CIS3
YBR294W	1	SUL1
YOR201C	1	MRM1
YOL030W	1	GAS5
YDR226W	1	ADK1
YMR215W	1	GAS3
YPL103C	1	FMP30
YPR113W	1	PIS1
YLR084C	1	RAX2
YLR328W	1	NMA1
YNL213C	1	RRG9
YIL022W	1	TIM44
YER077C	1	
YPL063W	1	TIM50
YBR091C	1	TIM12
YDL033C	1	SLM3
YJR079W	1	
YLL054C	1	
YLR139C	1	SLS1
YJL107C	1	
YMR236W	1	TAF9
YJL108C	1	PRM10
YER146W	1	LSM5
YGL016W	1	KAP122
YER009W	1	NTF2
YGR177C	1	ATF2
YPR175W	1	DPB2
YJL079C	1	PRY1
YDL205C	1	HEM3
YEL065W	1	SIT1
YGL195W	1	GCN1
YDR144C	1	MKC7
YGR198W	1	YPP1
YOR368W	1	RAD17
YAL023C	1	PMT2
YCR065W	1	HCM1
YKR090W	1	PXL1
YDL102W	1	POL3
YML061C	1	PIF1
YGL232W	1	TAN1
YGL232W	1	TAN1
YGR140W	1	CBF2
YGL092W	1	NUP145
YJL157C	1	FAR1
YHR120W	1	MSH1
YNL303W	1	
YFL031W	1	HAC1
YFL031W	1	HAC1
YFL031W	1	HAC1
YFL031W	1	HAC1
YDR292C	1	SRP101
YDL219W	1	DTD1
YDL219W	1	DTD1
YDL069C	1	CBS1
YPL256C	1	CLN2
YAL024C	1	LTE1
YGR229C	1	SMI1
YDR400W	1	URH1
YPL032C	1	SVL3
YOR033C	1	EXO1
YER001W	1	MNN1
YPR017C	1	DSS4
YDR348C	1	
YGR228W	1	
YDR183W	1	PLP1
YNL181W	1	
YNL334C	1	SNO2
YJR143C	1	PMT4
YIR008C	1	PRI1
YGR172C	1	YIP1
YKL184W	1	SPE1
YHR100C	1	GEP4
YNL166C	1	BNI5
YGR017W	1	
YGL253W	1	HXK2
YHR099W	1	TRA1
YGL155W	1	CDC43
YGL071W	1	AFT1
YJL222W	1	VTH2
YDR093W	1	DNF2
YDR093W	1	DNF2
YIL044C	1	AGE2
YGL067W	1	NPY1
YCR092C	1	MSH3
YDL040C	1	NAT1
YER122C	1	GLO3
YLR272C	1	YCS4
YHR063C	1	PAN5
YLR042C	1	
YDR523C	1	SPS1
YHR107C	1	CDC12
YNL291C	1	MID1
YGL063W	1	PUS2
YPL209C	1	IPL1
YPR012W	1	
YDR353W	1	TRR1
YGL049C	1	TIF4632
YGL125W	1	MET13
YJL168C	1	SET2
YBR028C	1	YPK3
YFL025C	1	BST1
YDR502C	1	SAM2
YDR044W	1	HEM13
YCR090C	1	
YLR026C	1	SED5
YMR088C	1	VBA1
YLR023C	1	IZH3
YER130C	1	
YHR122W	1	
YPL139C	1	UME1
YNL088W	1	TOP2
YPR194C	1	OPT2
YBL034C	1	STU1
YNL323W	1	LEM3
YPR032W	1	SRO7
YOL034W	1	SMC5
YJR031C	1	GEA1
YLR054C	1	OSW2
YLR188W	1	MDL1
YLR376C	1	PSY3
YIL132C	1	CSM2
YEL047C	1	
YDR170C	1	SEC7
YER164W	1	CHD1
YGL057C	1	GEP7
YDR052C	1	DBF4
YLL022C	1	HIF1
YML065W	1	ORC1
YHR108W	1	GGA2
YOR301W	1	RAX1
YHL040C	1	ARN1
YFR035C	1	
YIL039W	1	TED1
YMR019W	1	STB4
YER157W	1	COG3
YDR147W	1	EKI1
YNL129W	1	NRK1
YER145C	1	FTR1
YGR233C	1	PHO81
YCL017C	1	NFS1
YLR144C	1	ACF2
YMR106C	1	YKU80
YHR129C	1	ARP1
YHR039C	1	MSC7
YKL223W	1	
YPL255W	1	BBP1
YNL273W	1	TOF1
YGR109C	1	CLB6
YAL007C	1	ERP2
YBR088C	1	POL30
YAR003W	1	SWD1
YKL045W	1	PRI2
YLR103C	1	CDC45
YDR507C	1	GIN4
YBR089W	1	
YKL165C	1	MCD4
YLR183C	1	TOS4
YKL101W	1	HSL1
YOL007C	1	CSI2
YBR073W	1	RDH54
YNL082W	1	PMS1
YDR501W	1	PLM2
YPL163C	1	SVS1
YPL267W	1	ACM1
YNL262W	1	POL2
YDL095W	1	PMT1
YGL027C	1	CWH41
YJL187C	1	SWE1
YDL093W	1	PMT5
YNL102W	1	POL1
YDL127W	1	PCL2
YAR008W	1	SEN34
YFR031C	1	SMC2
YDR097C	1	MSH6
YNL289W	1	PCL1
YPL208W	1	RKM1
YOL090W	1	MSH2
YER070W	1	RNR1
YKL108W	1	SLD2
YLR389C	1	STE23
YBR275C	1	RIF1
YCL061C	1	MRC1
YML059C	1	NTE1
YJL181W	1	
YBL035C	1	POL12
YJL019W	1	MPS3
YJL019W	1	MPS3
YOR074C	1	CDC21
YOR074C	1	CDC21
YJR030C	1	
YOR038C	1	HIR2
YER003C	1	PMI40
YBL066C	1	SEF1
YLR313C	1	SPH1
YOR280C	1	FSH3
YPL241C	1	CIN2
YMR179W	1	SPT21
YDL157C	1	
YPR029C	1	APL4
YDL158C	1	
YOR112W	1	CEX1
YPL153C	1	RAD53
YGR163W	1	GTR2
YGR005C	1	TFG2
YBL010C	1	
YCR102C	1	
YLR383W	1	SMC6
YDR518W	1	EUG1
YKR013W	1	PRY2
YLL021W	1	SPA2
YML109W	1	ZDS2
YCL024W	1	KCC4
YCL024W	1	KCC4
YDR440W	1	DOT1
YOL149W	1	DCP1
YNL263C	1	YIF1
YGL241W	1	KAP114
YKL113C	1	RAD27
YCR044C	1	PER1
YNL225C	1	CNM67
YGL061C	1	DUO1
YDL164C	1	CDC9
YJL073W	1	JEM1
YAR002C-A	1	ERP1
YFR020W	1	
YDL211C	1	
YDR414C	1	ERD1
YKL046C	1	DCW1
YDR279W	1	RNH202
YLR212C	1	TUB4
YGL065C	1	ALG2
YNL309W	1	STB1
YML027W	1	YOX1
YER098W	1	UBP9
YNL072W	1	RNH201
YDR503C	1	LPP1
YPL091W	1	GLR1
YDR362C	1	TFC6
YPL145C	1	KES1
YMR292W	1	GOT1
YFR051C	1	RET2
YER161C	1	SPT2
YGL224C	1	SDT1
YMR078C	1	CTF18
YML102W	1	CAC2
YPR174C	1	
YOR165W	1	SEY1
YFR041C	1	ERJ5
YFR016C	1	
YDL017W	1	CDC7
YLR121C	1	YPS3
YPL019C	1	VTC3
YER107C	1	GLE2
YMR048W	1	CSM3
YML051W	1	GAL80
YOL017W	1	ESC8
YOR197W	1	MCA1
YHL050C	1	
YGR221C	1	TOS2
YDR068W	1	DOS2
YPL053C	1	KTR6
YHR127W	1	
YNL331C	1	AAD14
YDL012C	1	
YOR064C	1	YNG1
YGR156W	1	PTI1
YOL019W	1	
YCL064C	1	CHA1
YHL031C	1	GOS1
YHR177W	1	
YBR029C	2	CDS1
YOR326W	2	MYO2
YNL126W	2	SPC98
YGL101W	2	
YCL014W	2	BUD3
YBR156C	2	SLI15
YGR098C	2	ESP1
YHR183W	2	GND1
YNL169C	2	PSD1
YCR067C	2	SED4
YDR261C	2	EXG2
YIL131C	2	FKH1
YNL044W	2	YIP3
YNR043W	2	MVD1
YBL031W	2	SHE1
YDR130C	2	FIN1
YJR076C	2	CDC11
YLR045C	2	STU2
YMR198W	2	CIK1
YNL197C	2	WHI3
YML124C	2	TUB3
YHR061C	2	GIC1
YER032W	2	FIR1
YIR010W	2	DSN1
YPL155C	2	KIP2
YDR487C	2	RIB3
YGL018C	2	JAC1
YOR315W	2	SFG1
YHR163W	2	SOL3
YCL063W	2	VAC17
YIL010W	2	DOT5
YLR113W	2	HOG1
YDR488C	2	PAC11
YGL137W	2	SEC27
YGL230C	2	
YER063W	2	THO1
YLR191W	2	PEX13
YCR086W	2	CSM1
YBL052C	2	SAS3
YDL243C	2	AAD4
YHR086W	2	NAM8
YDR510W	2	SMT3
YDR530C	2	APA2
YKL134C	2	OCT1_
YBR159W	2	IFA38
YLR351C	2	NIT3
YLR100W	2	ERG27
YCR098C	2	GIT1
YLR153C	2	ACS2
YGR032W	2	GSC2
YMR054W	2	STV1
YHL008C	2	
YOR373W	2	NUD1
YLR077W	2	FMP25
YLL067C	2	
YGL022W	2	STT3
YJR118C	2	ILM1
YBL063W	2	KIP1
YKL092C	2	BUD2
