Systematic names	Cluster	Common names
YLR208W	1	SEC13
YKL196C	1	YKT6
YOR102W	1	
YLR424W	1	SPP382
YJR161C	1	COS5
YDR181C	1	SAS4
YIL068C	1	SEC6
YLR171W	1	
YDL100C	1	GET3
YGL192W	1	IME4
YDL007W	1	RPT2
YDR323C	1	PEP7
YLR306W	1	UBC12
YMR178W	1	
YOR259C	1	RPT4
YGL126W	1	SCS3
YDR350C	1	ATP22
YBR289W	1	SNF5
YJL032W	1	
YPL005W	1	AEP3
YNL051W	1	COG5
YMR237W	1	BCH1
YFL056C	1	AAD6
YKR029C	1	SET3
YGL055W	1	OLE1
YMR109W	1	MYO5
YNL130C	1	CPT1
YML064C	1	TEM1
YLR360W	1	VPS38
YPR129W	1	SCD6
YGR015C	1	
YKL203C	1	TOR2
YJL094C	1	KHA1
YPR042C	1	PUF2
YLR006C	1	SSK1
YGL233W	1	SEC15
YBR093C	1	PHO5
YDR383C	1	NKP1
YPR108W	1	RPN7
YPL161C	1	BEM4
YDL076C	1	RXT3
YHL019C	1	APM2
YLL007C	1	
YMR289W	1	ABZ2
YNL297C	1	MON2
YOR208W	1	PTP2
YCR093W	1	CDC39
YGR157W	1	CHO2
YGL206C	1	CHC1
YFR019W	1	FAB1
YNL257C	1	SIP3
YLR039C	1	RIC1
YER048W-A	1	ISD11
YDL183C	1	
YNR056C	1	BIO5
YDR319C	1	
YER179W	1	DMC1
YER179W	1	DMC1
YDR129C	1	SAC6
YDR424C	1	DYN2
YER048C	1	CAJ1
YLR281C	1	
YMR150C	1	IMP1
YBR052C	1	RFS1
YBR299W	1	MAL32
YIL152W	1	
YFR006W	1	
YGR193C	1	PDX1
YPL099C	1	AIM43
YOR142W	1	LSC1
YGR045C	1	
YER066W	1	RRT13
YER066W	1	RRT13
YLR202C	1	
YLR202C	1	
YLR202C	1	
YLR202C	1	
YDL137W	1	ARF2
YMR244C-A	1	
YPR148C	1	
YAL062W	1	GDH3
YOR193W	1	PEX27
YPL164C	1	MLH3
YJR083C	1	ACF4
YBL007C	1	SLA1
YMR245W	1	
YNL003C	1	PET8
YML079W	1	
YKL150W	1	MCR1
YHL034C	1	SBP1
YBR103W	1	SIF2
YFL054C	1	
YCR079W	1	PTC6
YPR091C	1	
YML030W	1	AIM31
YLR422W	1	
YIR039C	1	YPS6
YBR137W	1	
YBR285W	1	
YHR113W	1	APE4
YHR190W	1	ERG9
YEL017W	1	GTT3
YGR132C	1	PHB1
YNL071W	1	LAT1
YDR063W	1	AIM7
YBR221C	1	PDB1
YPL196W	1	OXR1
YFR003C	1	YPI1
YOR042W	1	CUE5
YLR370C	1	ARC18
